Theshold  COV-R_mean  COV-R_median  COV-R_std  COV-P_mean  COV-P_median  COV-P_std
0.05      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.10      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.15      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.20      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.25      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.30      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.35      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.40      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.45      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.50      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.55      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.60      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.65      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.70      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.75      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.80      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.85      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.90      0.000000    0.0           0.000000    0.000000   0.0           0.000000
0.95      0.000000    0.0           0.000000    0.000000   0.0           0.000000
1.00      0.000309    0.0           0.004318    0.000026   0.0           0.000360
1.05      0.002268    0.0           0.031665    0.000026   0.0           0.000360
1.10      0.003092    0.0           0.043179    0.000026   0.0           0.000360
1.15      0.003092    0.0           0.043179    0.000026   0.0           0.000360
1.20      0.003092    0.0           0.043179    0.000026   0.0           0.000360
1.25      0.003092    0.0           0.043179    0.000026   0.0           0.000360
1.30      0.003608    0.0           0.050376    0.000026   0.0           0.000360
1.35      0.004690    0.0           0.065489    0.000026   0.0           0.000360
1.40      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.45      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.50      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.55      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.60      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.65      0.005102    0.0           0.071246    0.000026   0.0           0.000360
1.70      0.005204    0.0           0.071253    0.000036   0.0           0.000386
1.75      0.005570    0.0           0.071511    0.000036   0.0           0.000386
1.80      0.006128    0.0           0.072102    0.000089   0.0           0.000657
1.85      0.006723    0.0           0.073478    0.000089   0.0           0.000657
1.90      0.007582    0.0           0.076665    0.000089   0.0           0.000657
1.95      0.009341    0.0           0.081049    0.000099   0.0           0.000671
2.00      0.011116    0.0           0.088241    0.000141   0.0           0.000932
2.05      0.014816    0.0           0.102107    0.000249   0.0           0.001472
2.10      0.017836    0.0           0.115572    0.000276   0.0           0.001561
2.15      0.021827    0.0           0.131410    0.000466   0.0           0.002256
2.25      0.031016    0.0           0.150310    0.000594   0.0           0.002721
2.30      0.038588    0.0           0.161882    0.000753   0.0           0.003066
2.35      0.047657    0.0           0.182176    0.000836   0.0           0.003190
2.40      0.058433    0.0           0.205801    0.001007   0.0           0.003808
2.45      0.069282    0.0           0.230277    0.001166   0.0           0.004113
2.50      0.076854    0.0           0.247346    0.001283   0.0           0.004357
2.55      0.084532    0.0           0.261602    0.001426   0.0           0.004622
2.60      0.090322    0.0           0.267799    0.001592   0.0           0.004891
2.65      0.096936    0.0           0.276692    0.001684   0.0           0.005027
2.70      0.102840    0.0           0.283708    0.001821   0.0           0.005381
2.75      0.111854    0.0           0.296001    0.002080   0.0           0.006014
2.80      0.120096    0.0           0.305723    0.002143   0.0           0.006086
2.85      0.127032    0.0           0.312832    0.002303   0.0           0.006641
2.90      0.134420    0.0           0.318034    0.002531   0.0           0.007006
2.95      0.142404    0.0           0.324946    0.002835   0.0           0.007865
3.00      0.153737    0.0           0.337212    0.002948   0.0           0.008074
